run_id,run_index,crossover,mutation,target,population_size,formulas_per_individual,mutation_rate,uniform_delta,gaussian_sigma,evaluation_width,evaluation_height,experiment_generations,population_seed,selection_seed,crossover_seed,mutation_seed,generation,best_fitness,mean_fitness,best_index
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,0,0.5978445791,0.5837501649,5
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,1,0.5954910596,0.5804245312,3
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,2,0.5949814352,0.5855976003,7
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,3,0.5964185042,0.5900534700,4
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,4,0.6011799429,0.5921049626,1
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,5,0.6007826363,0.5938845067,5
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,6,0.5989321027,0.5919467057,4
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,7,0.6020717281,0.5956044858,7
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,8,0.6020318032,0.5944497563,8
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,9,0.5999428666,0.5917130597,6
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,10,0.5936567600,0.5872136720,8
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,11,0.5951765102,0.5870933278,1
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,12,0.5934099818,0.5851340574,7
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,13,0.5968580315,0.5817657708,3
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,14,0.5983330651,0.5839655029,3
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,15,0.5993496627,0.5871868583,5
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,16,0.6004863896,0.5896135805,0
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,17,0.6031385229,0.5899237714,0
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,18,0.5976277971,0.5859262011,7
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,19,0.5972883314,0.5853107356,5
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,20,0.5926452445,0.5845560240,7
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,21,0.5921584746,0.5874053922,6
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,22,0.5937754547,0.5874793240,8
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,23,0.5945948688,0.5870888778,2
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,24,0.5985317109,0.5898111861,2
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,25,0.6008703611,0.5913036859,4
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,26,0.5945964892,0.5901067616,0
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,27,0.5957823585,0.5881918678,6
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,28,0.5915885515,0.5869096538,2
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,29,0.5931942608,0.5885256446,8
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,30,0.5939252322,0.5878018529,4
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,31,0.5944689223,0.5882396245,1
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,A.png,9,2,0.2000000030,0.1000000015,0.1000000015,256,256,100,12345,18345,19345,20345,32,0.5965040708,0.5890538452,8
