run_id,run_index,crossover,mutation,initial_best_fitness,final_best_fitness,best_fitness_change,initial_mean_fitness,final_mean_fitness,mean_fitness_change,max_best_fitness,generation_of_max_best,final_best_index,population_seed,selection_seed,crossover_seed,mutation_seed
combination_0_run_0,0,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,0.5978445791,0.5937873998,-0.0040571793,0.5837501649,0.5900898911,0.0063397262,0.6031385229,17,6,12345,18345,19345,20345
combination_0_run_1,1,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,0.6108660754,0.5985584097,-0.0123076658,0.5915035875,0.5936562952,0.0021527077,0.6108660754,0,0,112345,118345,119345,120345
combination_0_run_2,2,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,0.6065523082,0.6001841645,-0.0063681437,0.5861253505,0.5940328673,0.0079075168,0.6065523082,0,5,212345,218345,219345,220345
combination_0_run_3,3,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,0.6021898638,0.6024687405,0.0002788766,0.5916647710,0.6004022747,0.0087375037,0.6074538828,56,5,312345,318345,319345,320345
combination_0_run_4,4,PARAMETER_UNIFORM,BOUNDED_UNIFORM_MUTATION,0.5983111520,0.5978887345,-0.0004224175,0.5845887328,0.5930294406,0.0084407078,0.6067449480,6,7,412345,418345,419345,420345
combination_1_run_0,0,PARAMETER_UNIFORM,GAUSSIAN_PARAMETER_MUTATION,0.5978445791,0.6018865003,0.0040419212,0.5837501649,0.5959079890,0.0121578241,0.6102387538,93,8,12345,18345,19345,20345
combination_1_run_1,1,PARAMETER_UNIFORM,GAUSSIAN_PARAMETER_MUTATION,0.6108660754,0.6030707937,-0.0077952817,0.5915035875,0.5855311336,-0.0059724539,0.6108660754,0,6,112345,118345,119345,120345
combination_1_run_2,2,PARAMETER_UNIFORM,GAUSSIAN_PARAMETER_MUTATION,0.6065523082,0.6002748770,-0.0062774312,0.5861253505,0.5950560402,0.0089306896,0.6137257368,52,3,212345,218345,219345,220345
combination_1_run_3,3,PARAMETER_UNIFORM,GAUSSIAN_PARAMETER_MUTATION,0.6021898638,0.6054673389,0.0032774750,0.5916647710,0.5978039993,0.0061392283,0.6106295171,92,6,312345,318345,319345,320345
combination_1_run_4,4,PARAMETER_UNIFORM,GAUSSIAN_PARAMETER_MUTATION,0.5983111520,0.6010653002,0.0027541482,0.5845887328,0.5896576228,0.0050688900,0.6091123333,99,5,412345,418345,419345,420345
combination_2_run_0,0,WHOLE_FORMULA_UNIFORM,BOUNDED_UNIFORM_MUTATION,0.5978445791,0.5974134004,-0.0004311786,0.5837501649,0.5854622608,0.0017120958,0.6056172913,65,0,12345,18345,19345,20345
combination_2_run_1,1,WHOLE_FORMULA_UNIFORM,BOUNDED_UNIFORM_MUTATION,0.6108660754,0.6060280631,-0.0048380123,0.5915035875,0.5981867506,0.0066831631,0.6108660754,0,7,112345,118345,119345,120345
combination_2_run_2,2,WHOLE_FORMULA_UNIFORM,BOUNDED_UNIFORM_MUTATION,0.6065523082,0.5815755546,-0.0249767536,0.5861253505,0.5804477468,-0.0056776037,0.6065523082,0,0,212345,218345,219345,220345
combination_2_run_3,3,WHOLE_FORMULA_UNIFORM,BOUNDED_UNIFORM_MUTATION,0.6021898638,0.6030802584,0.0008903946,0.5916647710,0.5977110196,0.0060462486,0.6042098493,6,1,312345,318345,319345,320345
combination_2_run_4,4,WHOLE_FORMULA_UNIFORM,BOUNDED_UNIFORM_MUTATION,0.5983111520,0.5923221880,-0.0059889640,0.5845887328,0.5859305168,0.0013417839,0.5992657778,75,5,412345,418345,419345,420345
combination_3_run_0,0,WHOLE_FORMULA_UNIFORM,GAUSSIAN_PARAMETER_MUTATION,0.5978445791,0.5861678173,-0.0116767618,0.5837501649,0.5816814027,-0.0020687622,0.5988789631,16,4,12345,18345,19345,20345
combination_3_run_1,1,WHOLE_FORMULA_UNIFORM,GAUSSIAN_PARAMETER_MUTATION,0.6108660754,0.6013876057,-0.0094784698,0.5915035875,0.5937649198,0.0022613323,0.6108660754,0,3,112345,118345,119345,120345
combination_3_run_2,2,WHOLE_FORMULA_UNIFORM,GAUSSIAN_PARAMETER_MUTATION,0.6065523082,0.6062829835,-0.0002693248,0.5861253505,0.5946886587,0.0085633081,0.6083177541,89,1,212345,218345,219345,220345
combination_3_run_3,3,WHOLE_FORMULA_UNIFORM,GAUSSIAN_PARAMETER_MUTATION,0.6021898638,0.6109963157,0.0088064519,0.5916647710,0.6003758082,0.0087110372,0.6135510909,64,6,312345,318345,319345,320345
combination_3_run_4,4,WHOLE_FORMULA_UNIFORM,GAUSSIAN_PARAMETER_MUTATION,0.5983111520,0.6070909454,0.0087797934,0.5845887328,0.6040911842,0.0195024514,0.6083505549,89,4,412345,418345,419345,420345
